0.5 1.40444 0.750952 34.0504
0.25 0.317167 0.0469369 2.6803
0.125 0.0772398 0.0029336 0.263691
0.0625 0.0191832 0.000183354 0.0293509
0.03125 0.0047879 1.14463e-05 0.00346965
0.015625 0.0011965 1.20484e-06 0.000422042
0.0078125 0.000299205 1.91697e-06 5.22352e-05
0.00390625 7.49159e-05 3.82563e-06 1.00751e-05
0.00195312 1.95587e-05 7.43993e-06 1.63728e-05
0.000976562 1.20538e-05 1.51913e-05 3.21565e-05
0.000488281 2.20561e-05 2.96494e-05 6.77219e-05
0.000244141 4.17843e-05 5.66883e-05 0.000132655
